SampleID	Segregant pools	Growth Medium	Competition Day	Replicate	Accession no
AB_BSA_472	pool3	Serum	30	1	SRR12302780
AB_BSA_473	pool3	Serum	30	2	SRR12302779
AB_BSA_498	pool1	Albumax	34	1	SRR12302778
AB_BSA_499	pool1	Albumax	34	2	SRR12302777
AB_BSA_496	pool1	Serum	34	1	SRR12302881
AB_BSA_494	pool2	Albumax	34	1	SRR12302880
AB_BSA_495	pool2	Albumax	34	2	SRR12302879
AB_BSA_492	pool2	Serum	34	1	SRR12302878
AB_BSA_493	pool2	Serum	34	2	SRR12302877
AB_BSA_506	pool3	Albumax	34	1	SRR12302876
AB_BSA_507	pool3	Albumax	34	2	SRR12302875
AB_BSA_505	pool3	Serum	34	2	SRR12302874
